ContextUniqueName|Id|UniqueName|DisplayName|TypeName|Version
DomainNode|{8ec872e4-3968-4337-9e2a-38bfc0c7d236}|DisplayName|Display Name|System.String|0
DomainNode|{e7bf5484-b3ed-4252-b6bf-a8ea83cd8a35}|UniqueName|Unique Name|System.String|0
DomainNode|{2660c538-3bcc-44f2-96b4-ccba7680e39a}|Goal|Goal|System.String|0
DomainNode|{6e823860-e0d7-4802-84bc-ae7a239e034f}|AlertLevelChanges|Alert Level Changes|System.String|0
DomainNode|{14877226-9665-46c0-a99f-b558f2dfb7d1}|ContextGuidelines|Context Guidelines|System.String|0
DomainNode|{e060f65d-dd79-4347-870e-490fe26bd65a}|NotesForEndUser|Notes For End User|System.String|0
DomainNode|{e16069e3-b7d7-43de-a436-0dd9b88410ce}|NodeDetailsByDomainExpert|Node Details By Domain Expert|System.String|0
DomainNode|{3b070e70-7cf1-4155-be76-0185caa6368d}|NodeDetailsByModelIntegrator|Node Details By Model Integrator|System.String|0
DomainNode|{c263e535-b1ea-419f-a721-2d481eb20601}|NodeScript|Node Script|System.String|0
DomainNode|{73f02b93-22c4-45c2-96a9-7cfa79c1064b}|NodeScriptLanguage|Node Script Language|System.String|0
DomainNode|{57b9619b-bd14-429c-8356-29659cc96022}|NodeType|Node Type|System.Int32|0
DomainNode|{11219639-c513-44de-986f-a7fce5352ceb}|NodeTag|Node Tag|System.String|0
SelectComment|{c6a68fae-601b-4088-8067-35fcf278204d}|CommentTitle|Comment Title|System.String|0
SelectLink|{ec19a2fd-dad8-4921-b80c-715e68d943a4}|DisplayName5|Display Name|System.String|0
SelectLink|{71ab6705-55a0-4ad5-bc87-0f065666c2d7}|LinkScript1|Link Script|System.String|0
SelectLink|{27b9ff26-635a-4ca1-b698-c3d61c7eaa76}|UniqueName2|Unique Name|System.String|0
SelectLink|{d400a7b6-93ca-4742-b6ef-1471553583b5}|LinkScriptLanguage1|Link Script Language|System.String|0
SelectNode|{ecf5336f-eff1-4fed-9faf-6aee148d8c2b}|DisplayName1|Display Name|System.String|0
EditOverlayRole|{ac4b11df-1110-487f-bd98-77e186b11550}|RoleName1|Role Name|System.String|0
EditOverlayRole|{3d4c7784-ef43-4579-b247-3088323aa14d}|RoleDescription1|Role Description|System.String|0
EditOverlayRole|{5c56437b-942e-4e08-8643-f097bd27c54c}|IsAdmin1|Is Admin|System.Boolean|0
SelectOverlayRole|{e9bd7d98-853e-475a-aeb6-0a984f1a335d}|RoleName2|Role Name|System.String|0
EditOverlayReference|{1863ef56-7bc8-4513-b3d3-102f5cde6d00}|FileName1|File Name|System.String|0
EditOverlayReference|{307ae21c-b84f-49ac-b534-77fdb84ae34a}|IsGAC1|Is GAC|System.Boolean|0
SelectOverlayReference|{b21867ac-59a9-432c-90fa-3e10f8bb3e9f}|FileName2|File Name|System.String|0
SelectOverlayReference|{226db137-3827-4feb-83c3-272951dad879}|IsGAC2|Is GAC|System.Boolean|0
Comment|{777a0be6-828e-404d-a4ca-84eba972205b}|Title|Title|System.String|0
Comment|{c0860c8a-bc8b-45ce-ba6e-0a7ae19b9c19}|Author|Author|System.String|0
Comment|{50e98894-fe29-47f7-94d6-a33c27df4083}|Role|Role|System.String|0
Comment|{bbec2bfd-a8aa-4ad3-ae8a-71599ef21c6e}|Date|Date|System.DateTime|0
Comment|{e34a3888-8e4d-46df-b3af-663c2e3512c3}|CommentDetails|Comment Details|System.String|0
SelectSourceNode|{2c468ee5-fbb6-4b6c-be3b-2ba675485155}|SourceNodeDisplayName|Source Node Display Name|System.String|0
SelectSourceNode|{d1d3d847-de71-43e3-8fe0-2368f6fe89ae}|SourceNodeUniqueName|Source Node Unique Name|System.String|0
SelectTargetNode|{977f4293-471f-4de2-8baa-6b10d7984255}|TargetNodeDisplayName|Target Node Display Name|System.String|0
