NodeUniqueName|ContextUniqueName
AddNode|DomainNode
EditNode|DomainNode
AddNodeInModel|DomainNode
EditNodeInModel|DomainNode
DeleteDiscussion|SelectComment
DeleteDiscussionInModel|SelectComment
DeleteLink|SelectLink
EditLink|SelectLink
EditLinkInModel|SelectLink
DeleteLinkInModel|SelectLink
ProvideDeleteLinkInformationToUI|SelectLink
DeleteNode|SelectNode
AddDiscussion|SelectNode
ReplyDiscussion|SelectNode
DeleteDiscussion|SelectNode
LinkNodeToRole|SelectNode
LinkNodeToReference|SelectNode
AddNode|SelectNode
RemoveRoleLinkFromNode|SelectNode
RemoveReferenceLinkFromNode|SelectNode
AddNodeInModel|SelectNode
DeleteNodeInModel|SelectNode
AddDiscussionInModel|SelectNode
ReplyDiscussionInModel|SelectNode
DeleteDiscussionInModel|SelectNode
LinkNodeToRoleInModel|SelectNode
RemoveRoleLinkFromNodeInModel|SelectNode
RemoveReferenceLinkFromNodeInModel|SelectNode
LinkNodeToReferenceInModel|SelectNode
EditRole|EditOverlayRole
EditRoleInModel|EditOverlayRole
DeleteRole|SelectOverlayRole
LinkNodeToRole|SelectOverlayRole
RemoveRoleLinkFromNode|SelectOverlayRole
DeleteRoleInModel|SelectOverlayRole
LinkNodeToRoleInModel|SelectOverlayRole
RemoveRoleLinkFromNodeInModel|SelectOverlayRole
EditReference|EditOverlayReference
EditReferenceInModel|EditOverlayReference
DeleteReference|SelectOverlayReference
LinkNodeToReference|SelectOverlayReference
RemoveReferenceLinkFromNode|SelectOverlayReference
DeleteReferenceInModel|SelectOverlayReference
RemoveReferenceLinkFromNodeInModel|SelectOverlayReference
LinkNodeToReferenceInModel|SelectOverlayReference
AddDiscussion|Comment
ReplyDiscussion|Comment
AddDiscussionInModel|Comment
ReplyDiscussionInModel|Comment
MoveNode|SelectSourceNode
MoveNodeInModel|SelectSourceNode
MoveNode|SelectTargetNode
MoveNodeInModel|SelectTargetNode
AddLink|SelectParentNode
AddLinkInModel|SelectParentNode
EditNode|SelectNodeForEdit
EditNodeInModel|SelectNodeForEdit
ProvideNodeInformationToUI|SelectNodeForEdit
AddRole|AddOverlayRole
EditRole|AddOverlayRole
AddRoleInModel|AddOverlayRole
EditRoleInModel|AddOverlayRole
ReplyDiscussion|ReplyComment
ReplyDiscussionInModel|ReplyComment
AddReference|AddOverlayReference
EditReference|AddOverlayReference
AddReferenceInModel|AddOverlayReference
EditReferenceInModel|AddOverlayReference
MoveNode|SelectDirection
MoveNodeInModel|SelectDirection
AddLink|SelectChildNode
AddLinkInModel|SelectChildNode
EditLink|EditOverlayLink
EditLinkInModel|EditOverlayLink
CompileModel|SelectTargetPath
ReadConfigFileForCompile|SelectTargetPath
GetRootNode|RootNode
ManageCISLayoutInformation|CISLayout
ManageCISInformationInModel|CISLayout
LoadSelectedDomainModelForAuthoring|DomainModelFile
AddNode|DomainModelFile
EditNode|DomainModelFile
DeleteNode|DomainModelFile
AddRole|DomainModelFile
EditRole|DomainModelFile
DeleteRole|DomainModelFile
AddReference|DomainModelFile
EditReference|DomainModelFile
DeleteReference|DomainModelFile
AddDiscussion|DomainModelFile
ReplyDiscussion|DomainModelFile
DeleteDiscussion|DomainModelFile
MoveNode|DomainModelFile
AddLink|DomainModelFile
EditLink|DomainModelFile
DeleteLink|DomainModelFile
CompileModel|DomainModelFile
